width,height,area,object_class,distance
79.17510986328125,48.224822998046875,3818.2056590076536,bicycle,1.0
54.59051513671875,31.217041015625,1704.1543500870466,tennis racket,1.5
55.0384521484375,32.53875732421875,1790.882837958634,tennis racket,1.5
50.8465576171875,28.7374267578125,1461.199225410819,kite,2.5
80.220703125,44.06121826171875,3534.6219094991684,tennis racket,1.0
79.55865478515625,46.69061279296875,3714.642344903201,tennis racket,1.0
79.41552734375,43.32623291015625,3440.775634378195,tennis racket,1.0
53.0054931640625,30.49365234375,1616.331080853939,tennis racket,1.5
56.7762451171875,40.56622314453125,2303.197828732431,traffic light,3.0
58.75482177734375,41.72802734375,2451.722809702158,traffic light,4.0
28.6810302734375,28.78045654296875,825.4531453922391,kite,1.5
28.167510986328125,28.772186279296875,810.4408731227741,kite,1.5
27.0579833984375,25.48651123046875,689.6135977581143,kite,2.5
26.82183837890625,26.150634765625,701.4080991894007,kite,2.5
26.25579833984375,25.0933837890625,658.8468244299293,kite,3.0
28.1885986328125,26.03131103515625,733.7861786559224,kite,4.0
52.979736328125,84.08197021484375,4454.640611931682,kite,1.0
52.970367431640625,81.517578125,4318.01606541872,kite,1.0
38.3968505859375,55.33135986328125,2124.5499573871493,kite,1.5
36.916168212890625,55.0113525390625,2030.808343950659,kite,1.5
30.96661376953125,46.332763671875,1434.7687975019217,kite,2.0
30.2451171875,47.0821533203125,1424.0052446126938,kite,3.0
32.9161376953125,47.417236328125,1560.7922801077366,kite,3.0
