width,height,area,y_center,y_bottom,object_class,distance
128.54928588867188,72.06201171875,9263.520146146417,280.2016906738281,316.2326965332031,tennis racket,0.6
128.54928588867188,72.06201171875,9263.520146146417,280.2016906738281,316.2326965332031,tennis racket,0.6
128.54928588867188,72.06201171875,9263.520146146417,280.2016906738281,316.2326965332031,tennis racket,0.6
131.9940185546875,78.38787841796875,10346.731078363957,329.3519897460937,368.5459289550781,tennis racket,0.6
131.9940185546875,78.38787841796875,10346.731078363957,329.3519897460937,368.5459289550781,tennis racket,0.6
131.9940185546875,78.38787841796875,10346.731078363957,329.3519897460937,368.5459289550781,tennis racket,0.6
130.60894775390625,75.766845703125,9895.82799191773,327.51922607421875,365.4026489257813,bicycle,0.6
130.60894775390625,75.766845703125,9895.82799191773,327.51922607421875,365.4026489257813,bicycle,0.6
130.60894775390625,75.766845703125,9895.82799191773,327.51922607421875,365.4026489257813,bicycle,0.6
100.855712890625,56.04510498046875,5652.4690168350935,333.5612487792969,361.5838012695313,tennis racket,0.76
86.593017578125,50.205108642578125,4347.411855198443,166.8302459716797,191.93280029296875,tennis racket,0.89
79.07769775390625,49.05978393554688,3879.534765927121,253.9462127685547,278.4761047363281,tennis racket,0.99
79.17510986328125,48.22482299804688,3818.2056590076536,172.0251007080078,196.13751220703125,bicycle,1.0
79.17510986328125,48.22482299804688,3818.2056590076536,172.0251007080078,196.13751220703125,bicycle,1.0
79.17510986328125,48.22482299804688,3818.2056590076536,172.0251007080078,196.13751220703125,bicycle,1.0
68.95999145507812,39.78033447265625,2743.2515253145248,407.7063293457031,427.5964965820313,tennis racket,1.14
62.8973388671875,36.986572265625,2326.3569693267345,398.4065856933594,416.8998718261719,tennis racket,1.27
66.44512939453125,38.04931640625,2528.191751986742,160.52688598632812,179.55154418945312,tennis racket,1.2
66.44512939453125,38.04931640625,2528.191751986742,160.52688598632812,179.55154418945312,tennis racket,1.2
66.44512939453125,38.04931640625,2528.191751986742,160.52688598632812,179.55154418945312,tennis racket,1.2
66.749267578125,38.8355712890625,2592.2459395229816,325.56011962890625,344.9779052734375,tennis racket,1.2
66.749267578125,38.8355712890625,2592.2459395229816,325.56011962890625,344.9779052734375,tennis racket,1.2
66.749267578125,38.8355712890625,2592.2459395229816,325.56011962890625,344.9779052734375,tennis racket,1.2
65.0286865234375,43.64453125,2838.146541118622,371.216796875,393.0390625,tennis racket,1.2
65.0286865234375,43.64453125,2838.146541118622,371.216796875,393.0390625,tennis racket,1.2
65.0286865234375,43.64453125,2838.146541118622,371.216796875,393.0390625,tennis racket,1.2
65.76043701171875,42.3836669921875,2787.168463565409,310.90948486328125,332.101318359375,bicycle,1.2
65.76043701171875,42.3836669921875,2787.168463565409,310.90948486328125,332.101318359375,bicycle,1.2
65.76043701171875,42.3836669921875,2787.168463565409,310.90948486328125,332.101318359375,bicycle,1.2
66.430419921875,37.26177978515625,2475.315678164363,376.8603210449219,395.4912109375,tennis racket,1.2
66.430419921875,37.26177978515625,2475.315678164363,376.8603210449219,395.4912109375,tennis racket,1.2
66.430419921875,37.26177978515625,2475.315678164363,376.8603210449219,395.4912109375,tennis racket,1.2
57.0616455078125,33.31317138671875,1900.904376409948,210.939453125,227.59603881835935,tennis racket,1.41
54.38584899902344,29.357421875,1596.6283130943775,319.54693603515625,334.22564697265625,tennis racket,1.48
54.59051513671875,31.217041015625,1704.1543500870466,279.6334228515625,295.241943359375,tennis racket,1.5
54.59051513671875,31.217041015625,1704.1543500870466,279.6334228515625,295.241943359375,tennis racket,1.5
54.59051513671875,31.217041015625,1704.1543500870466,279.6334228515625,295.241943359375,tennis racket,1.5
55.0384521484375,32.53875732421875,1790.882837958634,210.9505920410156,227.219970703125,tennis racket,1.5
55.0384521484375,32.53875732421875,1790.882837958634,210.9505920410156,227.219970703125,tennis racket,1.5
55.0384521484375,32.53875732421875,1790.882837958634,210.9505920410156,227.219970703125,tennis racket,1.5
39.248138427734375,22.4156494140625,879.7725111506879,357.760986328125,368.96881103515625,kite,2.04
38.599029541015625,22.20101928710937,856.9377993037924,151.15834045410156,162.25885009765625,kite,2.23
35.6785888671875,20.61529541015625,735.5246493145823,254.38067626953125,264.6883239746094,kite,2.33
35.10595703125,19.79632568359375,694.968958824873,160.27853393554688,170.17669677734375,kite,2.52
31.779998779296875,19.49365234375,619.5082476884127,405.75689697265625,415.5037231445313,kite,2.58
50.8465576171875,28.7374267578125,1461.199225410819,209.92181396484372,224.29052734375,kite,2.5
50.8465576171875,28.7374267578125,1461.199225410819,209.92181396484372,224.29052734375,kite,2.5
50.8465576171875,28.7374267578125,1461.199225410819,209.92181396484372,224.29052734375,kite,2.5
31.31103515625,18.954345703125,593.480184674263,404.583251953125,414.0604248046875,kite,2.65
32.05005645751953,19.50665283203125,625.1893245638348,376.1121520996094,385.865478515625,kite,2.7
32.2142333984375,18.6387939453125,600.4344584196806,407.3931274414063,416.7125244140625,kite,2.73
26.57794189453125,15.9940185546875,425.0880958065391,151.71429443359375,159.7113037109375,kite,3.04
27.1158447265625,16.99884033203125,460.9379149749875,369.69439697265625,378.1938171386719,kite,3.04
26.941177368164062,15.1405029296875,407.90297487191856,245.814453125,253.38470458984372,kite,3.14
24.329345703125,13.314300537109377,323.92822056263685,193.60464477539065,200.2617950439453,kite,3.36
24.317138671875,14.2802734375,347.2553894519806,259.670654296875,266.810791015625,kite,3.37
23.96405029296875,14.6873779296875,351.9690633788705,399.2013549804688,406.5450439453125,kite,3.37
24.3787841796875,14.3564453125,349.99268186092377,354.08941650390625,361.26763916015625,kite,3.38
24.41903686523437,15.1676025390625,370.3782455585897,327.6467590332031,335.2305603027344,kite,3.43
24.9520263671875,18.4188232421875,459.58696319162846,212.4323272705078,221.6417388916016,kite,3.44
24.9635009765625,14.81048583984375,369.7215777263045,175.337890625,182.74313354492188,kite,3.46
25.326904296875,14.51287841796875,367.5662827640772,415.3229370117188,422.5793762207031,kite,3.5
20.872955322265625,13.004791259765623,271.4484269404784,208.6688232421875,215.1712188720703,kite,3.78
20.80938720703125,13.868896484375,288.6032370775938,147.43084716796875,154.36529541015625,kite,3.81
21.22711181640625,12.34515380859375,262.051960285753,218.8855133056641,225.0580902099609,kite,3.85
22.231903076171875,13.6898193359375,304.3507366068661,334.52569580078125,341.37060546875,kite,3.87
22.66363525390625,14.0059814453125,317.4264548495412,270.5712280273437,277.57421875,kite,3.87
21.3128662109375,14.5391845703125,309.87169556319714,362.1212768554688,369.390869140625,kite,4.06
21.49713134765625,13.08251953125,281.2366407215595,300.14190673828125,306.68316650390625,kite,4.9
22.19671630859375,14.20867919921875,315.3860213048756,248.15042114257807,255.2547607421875,kite,5.09
21.0108642578125,13.43878173828125,282.36041889339685,158.46682739257812,165.18621826171875,kite,5.17
22.1051025390625,14.6732177734375,324.3529834598303,341.14385986328125,348.48046875,kite,5.17
20.37799072265625,13.39154052734375,272.8926886282861,357.70263671875,364.3984069824219,kite,5.18
